Item,Price
=+B8+1 ——(|Onion/capcicum/pizaa ss —CidLC |,28999
279 |,549
=+B14+1 (Malted cheese + sweetcorn + babycorn + paneer + 419,670
~siset__|Spicial Quick Bite Pizza | 369 | 469 |,699
| 3__— Fried Rice,7
(1 _[VegColdSandwich,109
| _2 _|VegGrilledSandwich |,89
____2 _|VegCheeseGrilled Sandwich |,169
3 __|ChilliPaneersandwich |,99
— |,249
se,109
—,109
—,108
=+B64+1[Masalafries |,99
Spring role |,180
\ Chicken Korma 195,364
4 1 Chicken Kadhai 195,364
“A i Chicken Butter Masala 208,390
e Chicken Do Pyaza 195,364
! Chicken Masala 195,364
J Eee Curry 104 =:,195
Ege Bhurji 78,156
Mutton Stew 195,390
Fish Curry 130,234
Fish Fry 78,156
=e Do-Pyeze 85,169
Omlet Curry 78,156
Paneer Kali Mirch,195
Paneer Pudina Tikka,195
Tandoori Chicken,195
Afghani Chicken,194
Chicken Tikka,169
Chicken Leg Kabab,195
Chicken Seekh Kabab,195
Chicken Reshmi Kabab,195
Mutton Seekh Kabab,208
Tandoori Chicken Burrah,208
Afghani Tangdi,208
Chicken Kali Mirch Kabab,208
Chicken Pudina Tikka,208
Chicken Lahsuni Tandoori,208
Lahsuni Chicken Tikka,208
Ege Curry,104
Ege Bhurji,78
Mutton Stew,195
Fish Curry,130
Fish Fry,78
Ege Do-Pyaza,85
Omlet Curry,78
— +,2
Tawa Roti,13
Butter Tawa Roti,16
Tandoori Roti,13
Tandoori Butter Roti,20
Lachha Paratha,39
Garlic Naan,39
Plain Naan,26
Butter Naan,33
Paneer Naan,52
Aloo Naan,39
Pudina Paratha,26
Hari Mirch Paratha,26
Lal Mirch Paratha,26
Missi Roti,26
Rumali Roti,39
Onion Kulcha,46
Paneer Kulcha,65
Aloo Paratha,26
Sattu Paratha,26
Paneer Paratha,26
Ege Paratha,39
Boondi Raita,30
Mix Veg Raita,30
Onion Raita,25
Aloo Raita,25
Jeera Raita,25
Fruite Raita,30
Plain Dahi,25
. lines,3
Orange Juice (200m!),65
Pomi Grante Juice (200m!),78
Plain- Sprite/Coke/Thumsup/Limea (200ml),33
Masala- Sprite/Coke/Thumsup/Limca (200ml),39
Dinng Donng,1
Raita),35
Raita),20
Raita),1220
Garlic Naan,90
Dal Fry,75
Veg Ball,65
Govi,65
lonion Cucumber Salad,45
Mushroom,65
Mushroom Salt & Papper,1235
Chicken Manchurian,1235
Chicken,65
Chicken Masala,160
Chicken Liver Liver & Tircha Kosha,190
Liver & Tircha Fry,190
Chicken Lachadar (Boneless),1290
Egg Chowmein,130
Chicken Egg Chowmein,145
ma Tandoor (Non-Veg) _ [Tandoori Chicken (Full),640
Leshuni Wings,45
Paneer Tikka (Any Flavor),20
Desi Chicken Masala(3pcs),35
Fish Dopyaza,1205
Fish Panjabi,1235
Egg Allu Kasha,145
Prawn Prawn,65
Cranberry,120
ICE TEA Plain,100
Classic,100
Lemon,100
Peach,100
Blue Berry,100
Musk Melon,100
Watermelon,100
Cranberry,100
Peach Passion,100
CHEESE PAN] TIKKA MOMOS (7 PIECES),130
ae ES) IN =. MOMOS (7 PIECES),140
<,4
R TIKKA MOMOS (7 PIECES),130
ALOO DA PARATHA “ad VEG MAYONAISE WRAP,110
CHEESE ALOO DA PARATHA cee! VEG. CHEESE MAYONAISE WRAP,130
ALOO PYAZ DA PARATHA 95 ALOO TIKKI WRAP,110
CHEESE AL00 PYAZ DA PARATHA 120 CHEESE ALOO TIKKI WRAP,140
PYAZ DA PARATHA uo ALOO TIKKI SCHEZWAN WRAP,130
CHEESE PYAZ DA PARATHA ast CHEESE ALOO TIKKI SCHEZWAN WRAP,150
GOBI DA PARATHA poe MAYONAISE PANNER WRAP,120
CHEESE GOBI DA PARATHA 130 CHEESE MAYONAISE WRAP,150
ALOO PANNER DA PARATHA nie TANDOORI PANNER WRAP,130
CHEESE ALOO DA PARATHA us CHEESE PANNER TANDOORI WRAP,160
PANNER DA PARATHA azo TANDOORI PANNER SCHEZWAN WRAP,140
Renicarseak an pasisae 13 CHEESE CHILLY PANNER WRAP,160
nan JUNGLEE PANNER WRAP’. ~,180
EXTRA CHEESE 30 THUMPS UP (250 ML),20
EXTRA ANY ADD ON 30 SPRITE (250 ML),20
NIMA PATEL:-,9924328676
KRISH PATEL:-,9429890113
Chicken,65
Mutton Pepper Fry Fish,65
Prawn,65
Gobi,65
Paneer,65
Mushroom,65
Aalu Gobi Masala,7
4,70
Chic cern SPI WOU nt,10
Chicken Peri Peri Shawarma...»,140
BBQ Sauce SHOWING ~... nnn nnensenneenteeries,160
CHICKEN DrUMstick aa anenenensneenennenseneteees,200
FOR FRANCHISE ENQUIRY: +91 73050,98886
odaaadset,340
acesldseaces,440
Fresh Lemon,52
Lemon Soda,65
Lemon Mint,65
Lemon Mint Soda,78
Blue Lemon,78
Water Melon Lemon,78
Green Lemon,78
Red Lemon,78
Strawberry Lemon,78
Blueberry Lemon,78
Mango Lemon,78
Pineapple Lemon,78
Orange Lemon,78
AN SPL Sharjah,234
Sharjah,117
Vanilla,104
Strawberry,104
Pista,130
Butter Scoth,130
Chocolate,130
Mango,117
Black Current,130
Blueberry,117
Pineapple,117
Green Apple,117
Dry Fruit,156
Oreo,135
Browines,156
Rose Milk,78
Rose Milk Shake,130
Badam Kheer,91
Badam Milk,143
Cold Coffee,91
Vanilla Cold Coffee,143
Dry Fruit,156
Brownie,156
Vanilla,156
Strawberry,156
Pista,169
Butter Scotch,169
Chocolate,169
Mango,156
Black Current,169
Blueberry,169
Pineapple,169
Green Apple,169
AN SPL Royal Falooda,234
Normal Falooda,182
Chocolate Falooda,195
Jelly Falooda,195
Nuts falooda,208
Apple,130
Orange,117
Madulai,130
Sathukudi,117
Pineapple,91
Mango,104
Grape,91
Water Melon,78
Musk Melon,78
papaya Juice,68
s,78
Mojito Sarbath,91
sg :,104
Red Lemon,104
Starwberry,104
Blue Berry,140
Grape,140
Mango,140
Pineapple,140
orange,140
Green Apple,140
98 / 195 /,390
98 / 195 /,390
117 / 234 /,468
98 / 195 /,390
98 / 195 /,390
98 / 195 /,390
117 / 234 /,468
163 / 325 /,650
160 / 321 /,642
98 / 195 /,390
98 / 195 /,390
98/195 /,390
195 / 390 /,780
163 / 325 /,650
91 / 182 /,364
91 / 182 /,364
85 / 169 /,338
91/ 182 /,364
91 / 182 /,364
85 / 169 /,338
85 / 169 /,338
85 / 169 /,338
91 /182 /,364
85 / 169 /,338
91 / 182 /,364
85 / 169/,338
85 / 169 /,338
85 / 169 /,338
85 / 169 /,338
163 / 325 /,650
163 / 325 /,650
195 / 390 /,780
114 / 228 /,455
195 / 390 /,780
277 / 553 /,1105
277 / 553 /,1105
277/553 /,1105
Veg Puffs,20
Paneer Puffs,26
Egg Puffs,26
Mushroom Puffs,26
Chicken Puffs,33
Veg Roll,26
Somas,26
Lava Cake,65
Donut,65
Walnut Brownie,91
Apple Pie,104
Newyork Cheese Cake,104
Packed Cheese Cake,104
Mango Cheese Cake,104
Pineapple Cheese Cake,104
Orange Cheese Cake,104
Strawberry Cheese Cake,104
Coffee Mocho,104
Cashew Brownies,104
Mud Pie,104
Plain Cheese Cake,104
Jam Pie,104
Cheese Burger,404
Veg Sandwich,91
Cheese Sandwich,104
Paneer Sandwich,156
Aloo Sandwich,130
Chocolate Cheese Sandwich,130
Chicken Sandwich,156
Channa Masala,39
Channa Somas,78
Culet Channa,78
Masala Poori,46
Pani Poort,39
Phel Poori,39
Curd Poori,52
